country,year,gdp_millions,population,fossil_share_energy,fossil_share_elec,biofuel_consumption,biofuel_share_energy,solar_consumption,solar_share_energy,wind_consumption,wind_share_energy,hydro_consumption,hydro_share_energy,nuclear_consumption,nuclear_share_energy,other_renewable_consumption,other_renewables_share_energy,greenhouse_gas_emissions,energy_per_capita,primary_energy_consumption,per_capita_electricity,electricity_generation,green_energy_consumption,fossil_energy_consumption,renewable_share_energy
Afghanistan,2005,25397.688,24411196.0,0.0,36.559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,252.069,6.153,38.097,0.93,0.0,0.0,0.0
Afghanistan,2014,64346.108,32716214.0,0.0,13.793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,868.576,28.417,35.456,1.16,0.0,0.0,0.0
Afghanistan,2020,0.0,38972236.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,702.888,27.393,20.527,0.8,0.0,0.0,0.0
Africa,2005,0.0,927898412.0,92.149,80.287,0.056,0.001,0.084,0.002,2.235,0.059,254.379,6.72,31.029,0.82,9.397,0.248,301.64,4079.506,3785.367,577.272,535.65,266.151,3488.187,7.031048772813837
Africa,2014,0.0,1170299297.0,91.726,79.612,0.568,0.012,5.164,0.105,13.708,0.278,336.394,6.826,35.859,0.728,16.062,0.326,389.51,4210.886,4927.997,631.309,738.82,371.896,4520.241,7.546595503203431
Africa,2020,0.0,1360677453.0,89.995,75.899,0.872,0.017,40.155,0.762,50.177,0.953,388.309,7.373,24.957,0.474,22.485,0.427,397.79,3870.848,5266.976,593.462,807.51,501.99800000000005,4740.021,9.531047796686373
Africa (EI),2005,0.0,0.0,92.149,80.842,0.056,0.001,0.084,0.002,2.235,0.059,254.379,6.72,31.029,0.82,9.397,0.248,0.0,0.0,3785.367,0.0,560.426,266.151,3488.187,7.031048772813837
Africa (EI),2014,0.0,0.0,91.726,79.955,0.568,0.012,5.164,0.105,13.708,0.278,336.394,6.826,35.859,0.728,16.062,0.326,0.0,0.0,4927.998,0.0,770.06,371.896,4520.241,7.54659397183197
Africa (EI),2020,0.0,0.0,89.995,75.878,0.872,0.017,40.155,0.762,50.177,0.953,388.309,7.373,24.957,0.474,22.485,0.427,0.0,0.0,5266.976,0.0,852.274,501.99800000000005,4740.021,9.531047796686373
Africa (Ember),2005,0.0,0.0,0.0,80.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.71,0.0,0.0,0.0,535.65,0.0,0.0,
Africa (Ember),2014,0.0,0.0,0.0,79.612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.56,0.0,0.0,0.0,738.82,0.0,0.0,
Africa (Ember),2020,0.0,0.0,0.0,75.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.81,0.0,0.0,0.0,807.51,0.0,0.0,
Africa (Shift),2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Africa (Shift),2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Albania,2005,20781.076,3032636.0,0.0,1.299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,11545.616,35.014,1777.332,5.39,0.0,0.0,0.0
Albania,2014,29675.641,2884100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,11809.461,34.06,1622.69,4.68,0.0,0.0,0.0
Albania,2020,0.0,2866850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,11158.003,31.988,1852.207,5.31,0.0,0.0,0.0
Algeria,2005,326854.476,32956690.0,99.566,98.276,0.0,0.0,0.0,0.0,0.0,0.0,1.59,0.434,0.0,0.0,0.0,0.0,15.97,11113.723,366.272,968.24,31.91,1.59,364.681,0.4341036169840993
Algeria,2014,531308.085,38760168.0,99.882,99.586,0.0,0.0,0.163,0.028,0.003,0.0,0.523,0.089,0.0,0.0,0.0,0.0,30.52,15108.635,585.613,1558.301,60.4,0.6890000000000001,584.925,0.11765449195970717
Algeria,2020,0.0,43451668.0,99.7,99.01,0.0,0.0,1.799,0.277,0.02,0.003,0.13,0.02,0.0,0.0,0.0,0.0,36.43,14933.807,648.899,1673.814,72.73,1.9489999999999998,646.949,0.3003549088533038
American Samoa,2005,0.0,57277.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,43305.367,2.48,3142.623,0.18,0.0,0.0,0.0
American Samoa,2014,0.0,52234.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,27663.885,1.445,3063.139,0.16,0.0,0.0,0.0
American Samoa,2020,0.0,46216.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,29946.838,1.384,3245.629,0.15,0.0,0.0,0.0
Angola,2005,51967.275,19450962.0,0.0,19.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,2016.852,39.23,140.353,2.73,0.0,0.0,0.0
Angola,2014,170193.273,27128340.0,0.0,43.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96,4135.047,112.177,339.866,9.22,0.0,0.0,0.0
Angola,2020,0.0,33428490.0,0.0,27.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.07,3527.16,117.908,496.283,16.59,0.0,0.0,0.0
Antarctica,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.974,0.0,0.0,0.0,0.0,0.0
Antarctica,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0
Antarctica,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,2005,0.0,79879.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,31734.295,2.535,2879.355,0.23,0.0,0.0,0.0
Antigua and Barbuda,2014,0.0,89252.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,33313.0,2.973,3585.354,0.32,0.0,0.0,0.0
Antigua and Barbuda,2020,0.0,92672.0,0.0,93.939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,27785.227,2.575,3560.946,0.33,0.0,0.0,0.0
